CpG,estimate,exp.estimate,se,z,p.value,n,p.adjust,DHS,Enhancer,Relation_to_Island,chr,UCSC_RefGene_Name,UCSC_RefGene_Group
cg14645628,-1.3727409644325193,0.2534114150814013,0.3396814588512563,-4.041259623280267,5.3164859045851084e-5,601,0.12383820541074049,Yes,No,OpenSea,chr1,PLXNA2,Body
cg18320790,-1.3811520094809622,0.2512888990555384,0.34094275604863317,-4.050979189257068,5.100374409450358e-5,601,0.12383820541074049,No,Yes,OpenSea,chr15,ABHD2;ABHD2,5'UTR;5'UTR
cg21727223,-1.175189378506653,0.30876050154824664,0.2900364868486561,-4.051867374603383,5.0810466093375256e-5,601,0.12383820541074049,Yes,No,OpenSea,chr17,,
cg03862957,0.7384286857845972,2.0926447273332824,0.18483181779427102,3.9951383619811223,6.465648169907308e-5,601,0.1261020853774768,No,No,OpenSea,chr20,,
cg01695954,-1.4389461945186988,0.23717756605396453,0.3610508259235804,-3.9854394207181914,6.735536049995113e-5,601,0.12711464662919386,Yes,No,S_Shore,chr2,RRM2;RRM2,TSS1500;TSS1500
cg13926182,-1.5534117890964456,0.21152506241577543,0.3900408555428306,-3.982689933685331,6.813962989287148e-5,601,0.12711464662919386,Yes,Yes,OpenSea,chr16,,
cg11804293,1.0548844066471281,2.8716431918506147,0.2662716582099239,3.961684896315461,7.442271701849597e-5,601,0.1302370412789384,Yes,No,OpenSea,chr4,,
cg14611723,-0.7597251276752872,0.4677949932367309,0.19231133228633743,-3.950495889363984,7.798943744109947e-5,601,0.1317733520821565,Yes,Yes,OpenSea,chr6,,
cg25780687,-1.0161857364619038,0.36197297072053664,0.2572455111134611,-3.95025643815298,7.8067505244843e-5,601,0.1317733520821565,Yes,No,OpenSea,chr2,BAZ2B,Body
cg15506036,-0.7907278022966643,0.4535146061687928,0.2060611186542886,-3.8373459654136814,1.243711973854416e-4,601,0.14724187438811306,No,No,OpenSea,chr2,,
cg10532604,-0.8676683590161782,0.41992953356118223,0.2277060233435031,-3.810476096661123,1.3869942323084004e-4,601,0.1517215224681001,Yes,No,OpenSea,chr10,,
cg01581130,-1.4546553687689006,0.23348081481805463,0.3839865956965187,-3.7882972610808996,1.516832980259962e-4,601,0.15409087755914533,Yes,No,OpenSea,chr19,,
cg10070185,-4.062745558379291,0.017201725879258285,1.0691014537878325,-3.8001496901766996,1.446087095304897e-4,601,0.15409087755914533,Yes,No,OpenSea,chr14,SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200
cg20853937,-1.428852718267163,0.23958363455482518,0.3770824878074968,-3.7892311747890086,1.51114240626737e-4,601,0.15409087755914533,Yes,No,OpenSea,chr11,,
cg27001204,-1.1590841675315269,0.31377341321374635,0.3054243824397069,-3.794995534648708,1.4764611351190889e-4,601,0.15409087755914533,No,No,OpenSea,chr5,MCTP1,Body
cg04257639,-1.309167208557312,0.27004485381040366,0.3466327503451678,-3.7768133774251793,1.5884766215199376e-4,601,0.15470146893650105,Yes,No,OpenSea,chr1,RASAL2,Body
cg22665600,-0.7066314805008961,0.49330310298591507,0.1878572387886481,-3.761534477230891,1.68874137588999e-4,601,0.15832726704640462,Yes,No,OpenSea,chr19,,
cg05424126,0.6494415487930922,1.914471391568162,0.172705728654667,3.760393785730642,1.6964609468743912e-4,601,0.15838057050955098,Yes,No,OpenSea,chr5,AMACR;AMACR;AMACR;C1QTNF3-AMACR,Body;Body;Body;Body
cg02325250,-1.4362274447559706,0.23782326986120256,0.3829410655471819,-3.7505182232251717,1.7646947873754674e-4,601,0.1604737055852065,Yes,No,OpenSea,chr5,CSF2,TSS200
cg12326037,-1.3314148231388712,0.2641033373313475,0.35631473212945836,-3.736625806016726,1.865061552217807e-4,601,0.16208881372324915,Yes,Yes,OpenSea,chr1,,
cg14023023,1.3156934542389318,3.7273348253948115,0.35335563649544915,3.72342568888349,1.9653772742143452e-4,601,0.16426387866153297,Yes,No,Island,chr1,FAM176B,5'UTR
cg21932814,-1.3088812442707878,0.270122088036942,0.3514898590426458,-3.7238094089991454,1.9623909495703493e-4,601,0.16426387866153297,No,No,OpenSea,chr3,CSTA,1stExon
cg06757548,-0.914700550213441,0.4006365786680055,0.2463417473013176,-3.713136568340597,2.04706350032286e-4,601,0.16748252940538555,Yes,No,OpenSea,chr2,D2HGDH;D2HGDH;D2HGDH,5'UTR;Body;Body
cg18976159,-1.1533852734453334,0.31556667962701135,0.31088980775856573,-3.709948813571406,2.0730115562336208e-4,601,0.16815524191342102,Yes,No,OpenSea,chr11,SLC35F2,Body
cg15773890,0.9874466498301118,2.6843715737723146,0.2676720960571217,3.689016017640437,2.2512304727706446e-4,601,0.17426156876168042,No,No,OpenSea,chr6,,
cg11088672,-0.9406025053662314,0.3903925508787167,0.2556093523819264,-3.6798438578288084,2.333768069241758e-4,601,0.17548982567345345,Yes,No,OpenSea,chr4,,
cg06287548,-1.1894489958598982,0.3043889374328291,0.32406874494662596,-3.6703601146596228,2.4220899316882945e-4,601,0.17718481717712678,Yes,No,N_Shelf,chr21,,
cg16394096,-1.2519663905569638,0.2859419700831057,0.34149764763034696,-3.666105460006421,2.462723970890984e-4,601,0.1777396668382751,Yes,No,OpenSea,chr8,FER1L6,5'UTR
cg14754151,-1.3009151777034502,0.2722824921082711,0.3554586519754807,-3.6598213898397005,2.5239110970617056e-4,601,0.17940364830023206,Yes,No,N_Shelf,chr19,ANKRD27,5'UTR
cg01561719,-1.1526284267776656,0.31580560562068,0.3156037876611489,-3.652137495939043,2.600665675191319e-4,601,0.17970816337228596,No,No,OpenSea,chr10,ANKRD22,TSS200
cg24431964,-1.2523320784308645,0.2858374236888464,0.34299022306722404,-3.6512180062503266,2.609995701231972e-4,601,0.18010117052063904,Yes,No,S_Shore,chr2,FLJ31356;FOSL2,TSS1500;Body
cg02494101,-1.1963287146944401,0.30230201408115004,0.32960447089584166,-3.629588856737602,2.838730027353737e-4,601,0.1860121482535366,Yes,Yes,OpenSea,chr19,,
cg01856754,-1.647349903285785,0.1925595344331417,0.45621485405128276,-3.610908081262535,3.0512679637717787e-4,601,0.1908979930673487,Yes,No,OpenSea,chr14,SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200
cg09310966,-1.5393659302390943,0.21451707710517964,0.4275829664939824,-3.600157281430804,3.180247531762311e-4,601,0.19137017327406397,Yes,No,OpenSea,chr6,TREM1,TSS1500
cg11757137,-0.7598516182806094,0.4677358253070422,0.21245753554334054,-3.576487020511459,3.482425988774114e-4,601,0.1945458344139254,Yes,No,OpenSea,chr7,,
cg05602945,-1.2401375099981438,0.28934442745163663,0.3468680518605724,-3.5752428145115864,3.4990299683616583e-4,601,0.19469549555010593,Yes,No,N_Shelf,chr3,,
cg07830855,1.500043319792809,4.481883220385265,0.420138345366194,3.570355661027241,3.564968538637069e-4,601,0.19673070669334017,No,No,OpenSea,chr6,DST;DST;DST;DST,Body;Body;Body;Body
cg24771527,-1.3125651771599918,0.26912880710621434,0.3693849531616221,-3.553380195716004,3.8031438136385193e-4,601,0.20020242184014805,Yes,No,OpenSea,chr13,,
cg12166711,-1.305568196955142,0.2710184994023047,0.3678930337961349,-3.5487711835245364,3.870332412806133e-4,601,0.20141813955268995,Yes,No,OpenSea,chr15,CA12;CA12;CA12,Body;Body;Body
cg14877649,-1.2669742597221563,0.2816826321466035,0.3572776233959611,-3.5461897884324065,3.908446094710531e-4,601,0.2019039463227436,Yes,No,OpenSea,chr13,DCT;DCT,TSS1500;TSS1500
cg07847812,-1.2433341725930187,0.2884209677243265,0.3516428510485766,-3.535786861258448,4.0656256970746763e-4,601,0.2039506629384025,Yes,Yes,OpenSea,chr6,CASC15,Body
cg08700306,-1.5178436018167742,0.21918402574454954,0.42924651013665716,-3.536065095400649,4.0613460501469036e-4,601,0.2039506629384025,Yes,No,S_Shore,chr19,LRP3,Body
cg10587886,-0.5489246863351309,0.5775705460785086,0.15527331220286938,-3.5352159269839225,4.0744206932185397e-4,601,0.2039506629384025,Yes,No,OpenSea,chr3,LMCD1-AS1,Body
cg12836863,-0.9697976783792699,0.37915974255728224,0.2741668570230621,-3.5372535138253176,4.0431137720266475e-4,601,0.2039506629384025,Yes,No,N_Shore,chr13,BRCA2,TSS1500
cg12728588,1.704358508210939,5.497857705177843,0.4830812707471908,3.5280989171341206,4.1855571549166904e-4,601,0.20446340370181448,No,No,S_Shore,chr1,NCDN;NCDN;NCDN,Body;Body;Body
cg12006119,-0.69875015856434,0.4972063447009146,0.19860354064526234,-3.5183167243348366,4.3429368807976844e-4,601,0.20582902887932572,Yes,No,OpenSea,chr20,ITPA;ITPA;ITPA;ITPA;ITPA;ITPA;ITPA;ITPA;ITPA;ITPA;ITPA;ITPA,ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;Body;Body;Body;Body;Body;Body
cg07744502,-1.273742949598403,0.27978244789978085,0.3622266494856584,-3.5164252862318293,4.37399743811671e-4,601,0.20588759454630845,Yes,No,OpenSea,chr11,C11orf75,5'UTR
cg09943198,-0.986896903316223,0.3727315202664501,0.2811919407783212,-3.50969128270375,4.48627241781598e-4,601,0.2069239865008325,Yes,No,OpenSea,chr9,DOCK8,Body
cg04703221,-0.8938697880428632,0.40906967290635227,0.25527977223635856,-3.501530028063667,4.6259483861669907e-4,601,0.2085118720043394,Yes,No,OpenSea,chr16,WWP2;MIR140;WWP2,Body;Body;Body
cg10190563,-1.082954356600625,0.3385937199365261,0.31136910683900804,-3.4780404761239256,5.05093648484725e-4,601,0.21301693750630474,Yes,No,OpenSea,chr2,TRAF3IP1;TRAF3IP1,Body;Body
cg14468200,-0.9870729364188457,0.372665912955191,0.28424230664854994,-3.4726460957105427,5.153544363634647e-4,601,0.21377865683069328,Yes,No,OpenSea,chr3,ROBO1,Body
cg01164760,-1.141217740007508,0.31942980243038255,0.32959182818124927,-3.462518310314202,5.35145500896797e-4,601,0.21583983473014628,Yes,Yes,OpenSea,chr1,,
cg12753728,-1.164017474210933,0.31222928469996064,0.3363607918500653,-3.46062175620576,5.389294592198545e-4,601,0.21619610652492918,No,No,OpenSea,chr17,GAS7;GAS7;GAS7,5'UTR;Body;Body
cg23877117,-1.3131116805710852,0.2689817674775963,0.37945880398905135,-3.4604854776514102,5.39202316602778e-4,601,0.21619610652492918,Yes,Yes,OpenSea,chr21,APP;APP;APP;APP;APP;APP;APP;APP;APP;APP,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body
cg21078167,-1.2007955374655936,0.300954695916812,0.3486955344036542,-3.443679138361256,5.738562911211064e-4,601,0.2206171756776346,Yes,No,OpenSea,chr13,,
cg22733946,-1.4752201395940883,0.2287283693321813,0.4289366858662485,-3.4392491670765906,5.833300725907467e-4,601,0.22221827838190908,Yes,No,OpenSea,chr5,ROPN1L;ROPN1L,Body;Body
cg15713735,-1.208738280707511,0.298573758145597,0.3522776502411068,-3.4312091041830874,6.008972161833151e-4,601,0.22391018437526736,Yes,Yes,N_Shore,chr13,SLC46A3;SLC46A3,Body;Body
cg27376550,-1.2840569261026644,0.27691160863966896,0.3746379352608494,-3.427461037037302,6.092537271438832e-4,601,0.22448727713920136,Yes,No,N_Shore,chr11,DPAGT1,Body
cg14565067,-1.510663569764537,0.22076343740263832,0.4425847520063079,-3.413275226759295,6.418708288462054e-4,601,0.22723444157892822,No,No,OpenSea,chr1,,
cg16390626,-1.2065044818538573,0.2992414573394771,0.35435876348656853,-3.4047541818437015,6.62236371929815e-4,601,0.2298686454944857,Yes,Yes,OpenSea,chr10,SVIL,5'UTR
cg24507742,-0.9893555636625411,0.3718162257180343,0.29074569174176645,-3.4028210624055046,6.669394418673709e-4,601,0.2301480394715387,Yes,No,N_Shelf,chr19,SLC1A5;SLC1A5;SLC1A5,5'UTR;TSS200;Body
cg21513437,-1.8900860398299477,0.15105881120279377,0.5584048715696337,-3.3847950404104807,7.123142088958992e-4,601,0.23585304422032746,Yes,No,OpenSea,chr17,,
cg26626342,-0.47108865153564955,0.6243222288337087,0.13919552346832395,-3.3843663919468856,7.134273129593344e-4,601,0.23589334900404393,Yes,No,OpenSea,chr10,COL13A1;COL13A1;COL13A1;COL13A1;COL13A1;COL13A1,Body;Body;Body;Body;Body;Body
cg09083279,0.761996989196743,2.1425506015346736,0.2255915476624596,3.377772780462847,7.307543527142006e-4,601,0.23686546306842604,No,No,OpenSea,chr6,MAS1L,1stExon
cg27448527,-0.5903674430680538,0.5541236384328004,0.1747967094252332,-3.3774516980857414,7.316080097095368e-4,601,0.23686546306842604,Yes,No,OpenSea,chr1,LMX1A;LMX1A,Body;Body
cg18385689,1.3933027210839117,4.0281319039644234,0.41339884202821975,3.3703595158807946,7.507017251121221e-4,601,0.2387925832383329,Yes,No,OpenSea,chr1,,
cg01028834,-1.2299569952705998,0.2923051479143561,0.36580655135939305,-3.362315384182956,7.729179020350691e-4,601,0.2415069751554921,Yes,Yes,OpenSea,chr22,LIMK2,Body
cg14491288,-1.2232088607087774,0.2942843327779277,0.36462271000432206,-3.3547248351433683,7.944396480575269e-4,601,0.24363089316452524,Yes,Yes,S_Shore,chr19,,
cg27485921,-1.3851790162651074,0.2502789917707918,0.41323363290463727,-3.3520481053989326,8.021607908269502e-4,601,0.2440238313003742,Yes,No,OpenSea,chr2,ATP6V1E2,TSS1500
cg07619954,-1.36729563104561,0.2547950885833104,0.4082771136258206,-3.348940181591257,8.112130780388586e-4,601,0.24463222196401002,Yes,No,OpenSea,chr5,PCDH12;PCDH12,1stExon;5'UTR
cg00434384,-1.0770551073250823,0.34059707202032113,0.3227312314066208,-3.33731291710055,8.459265000953793e-4,601,0.24714309954449742,Yes,No,OpenSea,chr8,,
cg18019929,-1.18537864029306,0.30563043359011965,0.35659050021238436,-3.3242014007301135,8.86721338263755e-4,601,0.24955841683172217,Yes,No,OpenSea,chr2,D2HGDH;D2HGDH;D2HGDH,5'UTR;Body;Body
cg08982816,-1.3518956509040176,0.2587492971062021,0.40690970938508986,-3.3223479797200297,8.926329656602296e-4,601,0.2499056584645392,Yes,No,OpenSea,chr5,LOC101929154,Body
cg19190016,-0.8266579352588347,0.43750902918563606,0.2488320820218166,-3.322151744027752,8.932610084611631e-4,601,0.2499056584645392,Yes,No,S_Shore,chr17,,
cg26851443,-0.8903052785863408,0.41053040747826003,0.2680210763277092,-3.3217733873203503,8.944730770583213e-4,601,0.2499255886636742,Yes,No,OpenSea,chr1,,
cg06562165,-0.8196041269352734,0.44060604405065545,0.24733383724802424,-3.313756565032311,9.205161189503185e-4,601,0.25170253629206346,No,No,OpenSea,chr18,TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4,TSS1500;Body;Body;Body;Body;Body;Body;Body
cg08985054,-1.0643604617972673,0.34494839191333815,0.32119626592507894,-3.313738591361881,9.205752886957047e-4,601,0.25170253629206346,Yes,No,OpenSea,chr10,,
cg00718594,-0.9231311696053904,0.3972731619232881,0.27879178517828684,-3.3111849727388836,9.290177722745881e-4,601,0.25192192322658996,Yes,No,OpenSea,chr12,RBMS2,Body
cg23806751,-1.0073274017184992,0.36519369251830935,0.3042529722708032,-3.310821893374695,9.30223952200793e-4,601,0.25192192322658996,Yes,Yes,OpenSea,chr3,CCDC12;CCDC12;CCDC12,Body;Body;Body
cg06172871,-1.0953043510907787,0.3344378049468851,0.3312584444574255,-3.3064948816166737,9.447107639705927e-4,601,0.2527087339773978,No,No,OpenSea,chr16,HP;HP,TSS1500;TSS1500
cg15201259,-1.4188241242663995,0.24199840971651562,0.42939702808179686,-3.304224369238355,9.523957645698199e-4,601,0.25288099210997106,Yes,No,OpenSea,chr6,BACH2;BACH2,5'UTR;5'UTR
cg14514513,-1.1037413309155168,0.33162802961007926,0.33524816545080444,-3.2923113223642204,9.936754757677345e-4,601,0.2572294406856383,Yes,Yes,OpenSea,chr6,DSE;DSE,5'UTR;5'UTR
cg21062155,-1.078140439505169,0.3402276115875297,0.32855700785114605,-3.2814410094507083,0.0010327812531752223,601,0.2605198321297829,Yes,No,N_Shore,chr3,NT5DC2;NT5DC2,Body;Body
cg03598868,-1.1952532914652396,0.30262729156345763,0.3652925816483754,-3.272043702808536,0.0010677306999838463,601,0.26270536175030745,Yes,No,OpenSea,chr6,LINC00242;LINC00574,Body;Body
cg21968935,-1.286243606437724,0.27630675302445984,0.3946671454377945,-3.259059238414502,0.0011178232454693425,601,0.26487645470510185,Yes,No,S_Shore,chr18,CIDEA;CIDEA,Body;Body
cg04360546,-0.970302245025259,0.378968479454235,0.2979443353690631,-3.256656126129558,0.0011273291447545905,601,0.265225928991743,Yes,No,OpenSea,chr1,ARHGEF10L;ARHGEF10L,Body;Body
cg15375526,-0.7109212605934548,0.4911914736061868,0.21838728143645467,-3.255323551432712,0.001132632515747562,601,0.26538702528642216,Yes,No,OpenSea,chr3,,
cg07904751,-0.3801623877116578,0.6837503675391684,0.11689833589767794,-3.252076984606667,0.0011456498711262973,601,0.2671800002291357,Yes,No,OpenSea,chr12,ZNF664-FAM101A,5'UTR
cg02163378,0.30526861491857077,1.3569894616682632,0.09405040440561897,3.245798004249014,0.0011712191044663846,601,0.26893010032764075,No,No,OpenSea,chr14,OTX2OS1,Body
cg05921767,-0.5341301253580026,0.5861789706558246,0.16460770946584943,-3.24486700587263,0.0011750548928543465,601,0.26902169766043665,Yes,No,S_Shelf,chr5,CXXC5,5'UTR
cg10570484,-0.9580073795686308,0.38365660681290614,0.2953533454181552,-3.2435975228663945,0.0011803039727813014,601,0.26945704816264565,Yes,No,OpenSea,chr1,KIRREL;KIRREL,Body;Body
cg17953136,1.1760079356975073,3.241408429127823,0.3629220454199511,3.240387159001882,0.0011936750656118807,601,0.2707090773132974,No,No,OpenSea,chr2,LAPTM4A,3'UTR
cg24261491,-1.081005812684671,0.33925412787747194,0.33363108690357446,-3.240123163334302,0.0011947808054111237,601,0.2707090773132974,No,Yes,OpenSea,chr14,,
cg18977021,-0.3063144562652331,0.7361550944741266,0.09463918401800124,-3.236655719759474,0.0012093922221565851,601,0.2716383780866527,Yes,Yes,N_Shore,chr5,LOC648987,Body
cg17960141,0.639399931226442,1.8953432017261636,0.19773106661794512,3.2336847323131424,0.0012220427454733374,601,0.2725172970199809,No,No,OpenSea,chr1,BRINP3,Body
cg20734664,-1.13818739286219,0.32039925376547707,0.3530138890856315,-3.2242000330646956,0.0012632512517132281,601,0.2741497443360683,Yes,Yes,OpenSea,chr2,,
cg00046710,1.0389760176018794,2.8263214286957834,0.32226998967482345,3.2239304027353772,0.0012644412623926155,601,0.27420258291173055,Yes,No,Island,chr9,TUBB4B,TSS1500
cg02181506,-1.360914861805461,0.25642607518797156,0.4224428076447269,-3.2215363527978114,0.001275052858994099,601,0.2748741658330194,Yes,No,OpenSea,chr14,SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1;SERPINA1,1stExon;5'UTR;1stExon;1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon;5'UTR;5'UTR;5'UTR;1stExon;5'UTR;1stExon;1stExon;1stExon;1stExon;5'UTR;5'UTR
cg07691827,-1.1580952627329009,0.314083858722982,0.3596271057871512,-3.220266893392432,0.001280713018469882,601,0.2752998591472324,Yes,No,OpenSea,chr2,KIF5C;KIF5C;KIF5C;KIF5C,ExonBnd;ExonBnd;Body;Body
cg15819551,0.5474740062596894,1.7288803565764455,0.17030263827848208,3.2147124189846648,0.0013057526519156416,601,0.2765441213291596,No,No,OpenSea,chr14,TTLL5,Body
cg04264075,-1.379640820523132,0.2516689311428404,0.4293979302844299,-3.212965697364374,0.0013137197875718312,601,0.27687620211895003,Yes,No,OpenSea,chr19,NKG7,TSS1500
cg26406563,-1.455305900626866,0.2333289775026519,0.45446576377902786,-3.2022343961083735,0.001363659887625672,601,0.27986901145688836,Yes,No,OpenSea,chr1,C1orf175;C1orf175,Body;5'UTR
cg18455472,-0.9674985848390917,0.38003246912767774,0.30218961195915256,-3.2016275429410523,0.0013665356410062766,601,0.27987876412201496,Yes,No,OpenSea,chr17,,
cg09365924,-1.270608745698427,0.28066071876015614,0.397186007741875,-3.1990269569721996,0.0013789227467172565,601,0.28028706698641326,Yes,Yes,N_Shelf,chr12,RARG;RARG,Body;Body
cg12995043,-1.457628202292497,0.2327877459242978,0.4567299365616497,-3.1914444086275595,0.0014156335027058883,601,0.28228775062766803,No,Yes,OpenSea,chr17,,
cg16205534,-1.1198066239234805,0.3263428954304679,0.3514987089544489,-3.1858057950039225,0.0014435146092493226,601,0.2852583446605976,Yes,No,OpenSea,chr10,ANK3,Body
cg11793257,-0.47495016376693683,0.6219160496459178,0.14917638522879695,-3.1838160110830507,0.001453473654821692,601,0.28606656828533394,Yes,Yes,OpenSea,chr20,,
cg21583986,-1.098651721091534,0.3333201894513411,0.3456604674211492,-3.1784129937918184,0.001480836548088277,601,0.28807313668995316,Yes,Yes,OpenSea,chr4,,
cg08281455,-0.5144836795976366,0.5978091760222451,0.1619579507342419,-3.176649724605722,0.0014898686211279742,601,0.28809003034630215,Yes,No,N_Shore,chr5,,
cg11248166,-0.3831369319016447,0.6817195437409475,0.1205875250968229,-3.1772518060555104,0.001486778861069735,601,0.28809003034630215,No,No,OpenSea,chr1,TNNI3K;TNNI3K,Body;Body
cg26938203,1.011185848316865,2.748858812604481,0.3183884866584108,3.175949793064393,0.0014934679639740972,601,0.28818989625358754,Yes,No,Island,chr11,PPP1CA;PPP1CA;PPP1CA,Body;Body;Body
cg24598860,1.30197217010563,3.676540285291115,0.410231190382287,3.1737522661120567,0.0015048207007302655,601,0.28840455436756357,Yes,No,OpenSea,chr3,MECOM;MECOM;MECOM;MECOM;MECOM;MECOM;MECOM,Body;Body;Body;Body;Body;Body;Body
cg09089410,0.6689600557899976,1.9522060792213107,0.21099888482736798,3.170443561051603,0.001522063978375356,601,0.2890669911401824,Yes,No,OpenSea,chr2,,
cg11665114,-1.033898398587982,0.35561791442509816,0.32634760409794705,-3.1680894408456477,0.0015344430591025335,601,0.28911831753319117,No,Yes,OpenSea,chr7,CLEC5A;CLEC5A,Body;Body
cg08698159,-0.9809588593753918,0.3749514007630786,0.3097688046753871,-3.166745148541856,0.0015415535135148365,601,0.2891207163225247,No,No,OpenSea,chr17,SEZ6;SEZ6,Body;Body
cg12124902,-0.5612746925170229,0.5704814117943121,0.17722637726114507,-3.166992979210867,0.0015402403691189253,601,0.2891207163225247,No,No,OpenSea,chr14,,
cg01599714,0.7952379294774976,2.2149679402786,0.25179068767957863,3.1583293917902706,0.001586761567215979,601,0.2905808177197823,Yes,No,OpenSea,chr8,,
cg27636612,-0.9097524575916107,0.40262387818329354,0.28852571295745266,-3.153107042926767,0.0016154255863465338,601,0.2924601562019229,No,Yes,OpenSea,chr4,HGFAC,TSS1500
cg14514991,0.695040584445519,2.0037903950130964,0.2206472488782286,3.1500079333828443,0.0016326602903675579,601,0.29296722213409754,No,No,OpenSea,chr1,OR6N1,TSS1500
cg09168785,0.8827883864594448,2.417631607723121,0.28039463158746836,3.148378346124153,0.00164179044804327,601,0.2935338987265107,No,No,OpenSea,chr14,TTC9,Body
cg18125510,-0.537886147572437,0.5839813990678149,0.17093498468889587,-3.1467294337165534,0.001651076682280932,601,0.294424536134017,Yes,No,N_Shore,chr14,WARS;WDR25;WARS;WARS;WDR25;WARS;WARS;WARS,1stExon;TSS1500;5'UTR;5'UTR;TSS1500;1stExon;5'UTR;5'UTR
cg11729779,-1.0035910403039723,0.3665607404420432,0.31924908153431164,-3.1435988334898632,0.0016688404985719463,601,0.2954736814707661,Yes,No,OpenSea,chr2,,
cg04266915,-1.3521712442034466,0.2586779973590052,0.43208104132340314,-3.129438959094195,0.001751404567228381,601,0.3000052639543367,Yes,No,S_Shore,chr19,ZSCAN18;ZSCAN18,TSS1500;TSS1500
